item_id;name;category;price;old_price;sellable_online;link;other_colors;short_description;designer;depth;height;width;price_usd;category_total
49325286;PLATSA;Wardrobes (236);502,0;SR 530;TRUE;https://www.ikea.com/sa/en/p/platsa-open-shelving-unit-white-s49325286/;No;Open shelving unit, 160x40x63 cm;Ola Wihlborg/IKEA of Sweden;NA;NA;NA;135,540;236
59305725;PAX;Wardrobes (236);3394,0;SR 3,490;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-nykirke-frosted-glass-check-pattern-s59305725/;Yes;Wardrobe, 150x66x236 cm;IKEA of Sweden/Ehlén Johansson;66;236;150;916,380;236
99188003;ELVARLI;Wardrobes (236);2377,0;SR 3,025;TRUE;https://www.ikea.com/sa/en/p/elvarli-4-sections-white-bamboo-s99188003/;No;4 sections, 262x36x222-350 cm;Ehlén Johansson;35;NA;261;641,790;236
59330112;PAX / AULI;Wardrobes (236);1940,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-auli-wardrobe-combination-white-mirror-glass-s59330112/;No;Wardrobe combination, 150x44x236 cm;IKEA of Sweden/Ehlén Johansson;44;236;150;523,800;236
69219044;PAX;Wardrobes (236);2410,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-hasvik-white-s69219044/;No;Wardrobe, 150x66x236 cm;Ehlén Johansson/IKEA of Sweden;66;236;150;650,700;236
79266110;STUVA / FRITIDS;Wardrobes (236);1225,0;No old price;TRUE;https://www.ikea.com/sa/en/p/stuva-fritids-wardrobe-with-storage-bench-white-light-pink-s79266110/;Yes;Wardrobe with storage bench, 150x50x192 cm;Ebba Strandmark/IKEA of Sweden;50;192;150;330,750;236
29324711;PAX / GRIMO;Wardrobes (236);1765,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-grimo-wardrobe-combination-white-white-s29324711/;Yes;Wardrobe combination, 100x60x201 cm;Ehlén Johansson/Ola Wihlborg/IKEA of Sweden;60;201;100;476,550;236
49188005;ELVARLI;Wardrobes (236);1629,0;SR 2,275;TRUE;https://www.ikea.com/sa/en/p/elvarli-3-sections-white-s49188005/;No;3 sections, 205x55x216 cm;Ehlén Johansson/IKEA of Sweden;55;216;205;439,830;236
69157499;ELVARLI;Wardrobes (236);1301,0;SR 2,035;TRUE;https://www.ikea.com/sa/en/p/elvarli-2-sections-white-bamboo-s69157499/;No;2 sections, 125x55x126 cm;IKEA of Sweden/Ehlén Johansson;55;126;124;351,270;236
89385612;PAX / MEHAMN;Wardrobes (236);2975,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-mehamn-wardrobe-combination-white-white-stained-oak-effect-s89385612/;No;Wardrobe combination, 200x44x236 cm;Ehlén Johansson/IKEA of Sweden;44;236;200;803,250;236
99304578;PLATSA;Wardrobes (236);1796,0;SR 2,245;TRUE;https://www.ikea.com/sa/en/p/platsa-wardrobe-with-2-doors-3-drawers-fonnes-white-s99304578/;No;Wardrobe with 2 doors+3 drawers, 300x57x241 cm;IKEA of Sweden;57;241;300;484,920;236
79157615;ELVARLI;Wardrobes (236);650,0;SR 890;TRUE;https://www.ikea.com/sa/en/p/elvarli-1-section-white-s79157615/;No;1 section, 92x36x222-350 cm;Ehlén Johansson;35;NA;91;175,500;236
49212067;ELVARLI;Wardrobes (236);1181,0;SR 1,655;TRUE;https://www.ikea.com/sa/en/p/elvarli-2-sections-white-s49212067/;No;2 sections, 165x55x216 cm;IKEA of Sweden/Ehlén Johansson;55;216;164;318,870;236
9265053;PAX;Wardrobes (236);4200,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-hokksund-high-gloss-light-beige-s09265053/;No;Wardrobe, 200x66x236 cm;IKEA of Sweden/Ehlén Johansson;66;236;200;1134,000;236
9324689;PAX;Wardrobes (236);2545,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s09324689/;Yes;Wardrobe combination, 150x58x201 cm;IKEA of Sweden/Ola Wihlborg/Ehlén Johansson;58;201;150;687,150;236
39325022;PAX / GRIMO/VIKEDAL;Wardrobes (236);3935,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-grimo-vikedal-wardrobe-combination-white-mirror-glass-s39325022/;Yes;Wardrobe combination, 200x60x236 cm;Ola Wihlborg/Ehlén Johansson/IKEA of Sweden;60;236;200;1062,450;236
69303429;PAX;Wardrobes (236);3162,0;SR 3,375;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-uggdal-grey-glass-s69303429/;No;Wardrobe, 150x66x236 cm;Ehlén Johansson/IKEA of Sweden;66;236;150;853,740;236
79276425;PAX;Wardrobes (236);4215,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-hamnas-black-blue-s79276425/;No;Wardrobe, 200x60x236 cm;IKEA of Sweden/Ehlén Johansson;60;236;200;1138,050;236
89315153;ELVARLI;Wardrobes (236);1970,0;SR 2,815;TRUE;https://www.ikea.com/sa/en/p/elvarli-3-sections-white-bamboo-s89315153/;No;3 sections, 245x55x216 cm;Ehlén Johansson/IKEA of Sweden;55;216;245;531,900;236
19127382;PAX;Wardrobes (236);2610,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-auli-mirror-glass-s19127382/;Yes;Wardrobe, 150x66x236 cm;Ehlén Johansson/IKEA of Sweden;66;236;150;704,700;236
19303498;PAX;Wardrobes (236);2690,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-fardal-high-gloss-white-s19303498/;Yes;Wardrobe, 150x60x236 cm;IKEA of Sweden/Ehlén Johansson;60;236;150;726,300;236
19305671;PAX;Wardrobes (236);3120,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-hokksund-light-grey-s19305671/;No;Wardrobe, 150x66x236 cm;IKEA of Sweden/Ehlén Johansson;66;236;150;842,400;236
19305906;PAX;Wardrobes (236);3760,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-hokksund-high-gloss-light-beige-s19305906/;No;Wardrobe, 150x66x236 cm;IKEA of Sweden/Ehlén Johansson;66;236;150;1015,200;236
